"NAME","Fips Code",,"NAME","Fips Code"
"Accomack","001",,"Page","139"
"Albemarle","003",,"Patrick","141"
"Alleghany","005",,"Pittsylvania","143"
"Amelia","007",,"Powhatan","145"
"Amherst","009",,"Prince Edward","147"
"Appomattox","011",,"Prince George","149"
"Arlington","013",,"Prince William","153"
"Augusta","015",,"Pulaski","155"
"Bath","017",,"Rappahannock","157"
"Bedford","019",,"Richmond","159"
"Bland","021",,"Roanoke","161"
"Botetourt","023",,"Rockbridge","163"
"Brunswick","025",,"Rockingham","165"
"Buchanan","027",,"Russell","167"
"Buckingham","029",,"Scott","169"
"Campbell","031",,"Shenandoah","171"
"Caroline","033",,"Smyth","173"
"Carroll","035",,"Southampton","175"
"Charles City","036",,"Spotsylvania","177"
"Charlotte","037",,"Stafford","179"
"Chesterfield","041",,"Surry","181"
"Clarke","043",,"Sussex","183"
"Craig","045",,"Tazewell","185"
"Culpeper","047",,"Warren","187"
"Cumberland","049",,"Washington","191"
"Dickenson","051",,"Westmoreland","193"
"Dinwiddie","053",,"Wise","195"
"Essex","057",,"Wythe","197"
"Fairfax","059",,"York","199"
"Fairfax - A","059",,"Alexandria city","510"
"Fauquier","061",,"Bedford city","515"
"Floyd","063",,"Bristol city","520"
"Fluvanna","065",,"Buena Vista city","530"
"Franklin","067",,"Charlottesville city","540"
"Frederick","069",,"Chesapeake city","550"
"Giles","071",,"Clifton Forge city","560"
"Gloucester","073",,"Colonial Heights city","570"
"Goochland","075",,"Covington city","580"
"Grayson","077",,"Danville city","590"
"Greene","079",,"Emporia city","595"
"Greensville","081",,"Fairfax city","600"
"Halifax","083",,"Falls Church city","610"
"Hanover","085",,"Franklin city","620"
"Henrico","087",,"Fredericksburg city","630"
"Henry","089",,"Galax city","640"
"Highland","091",,"Hampton city","650"
"Isle of Wight","093",,"Harrisonburg city","660"
"James City","095",,"Hopewell city","670"
"King and Queen","097",,"Lexington city","678"
"King George","099",,"Lynchburg city","680"
"King William","101",,"Manassas city","683"
"Lancaster","103",,"Manassas Park city","685"
"Lee","105",,"Martinsville city","690"
"Loudoun","107",,"Newport News city","700"
"Louisa","109",,"Norfolk city","710"
"Lunenburg","111",,"Norton city","720"
"Madison","113",,"Petersburg city","730"
"Mathews","115",,"Poquoson city","735"
"Mecklenburg","117",,"Portsmouth city","740"
"Middlesex","119",,"Radford city","750"
"Montgomery","121",,"Richmond city","760"
"Montgomery - A","121",,"Roanoke city","770"
"Nelson","125",,"Salem city","775"
"New Kent","127",,"Staunton city","790"
"Northampton","131",,"Suffolk city","800"
"Northumberland","133",,"Virginia Beach city","810"
"Nottoway","135",,"Waynesboro city","820"
"Orange","137",,"Williamsburg city","830"
