"DISTRICT","VAP","VAP
WHITE","% White","VAP
BLACK","% Black","VAP
AMIND","% AmInd","VAP
ASIAN","% Asian","VAP
HAWPI","VAP
OTHER","VAP
MULTI","VAP
HISP","% Hisp"
1,54240,53292,98%,422,0.8%,280,0.5%,123,0.2%,12,69,42,250,0.5%
2,54200,52312,97%,1415,2.6%,188,0.3%,120,0.2%,10,137,18,338,0.6%
3,54684,53259,97%,963,1.8%,198,0.4%,170,0.3%,7,62,25,231,0.4%
4,55435,53554,97%,1286,2.3%,240,0.4%,183,0.3%,15,123,34,355,0.6%
5,55947,53141,95%,1960,3.5%,236,0.4%,145,0.3%,7,423,35,895,1.6%
6,56161,52949,94%,2436,4.3%,246,0.4%,256,0.5%,16,202,56,393,0.7%
7,58467,53947,92%,2754,4.7%,258,0.4%,1027,1.8%,27,331,123,631,1.1%
8,54163,50833,94%,2124,3.9%,181,0.3%,747,1.4%,9,208,61,424,0.8%
9,55505,49636,89%,5227,9.4%,200,0.4%,162,0.3%,12,199,69,566,1%
10,56374,47575,84%,7760,13.8%,192,0.3%,110,0.2%,20,654,63,1348,2.4%
11,54328,35661,66%,16977,31.2%,324,0.6%,576,1.1%,25,505,260,762,1.4%
12,58617,52286,89%,2890,4.9%,237,0.4%,2475,4.2%,31,504,194,728,1.2%
13,50200,42255,84%,4122,8.2%,260,0.5%,1744,3.5%,48,1544,227,2941,5.9%
14,54440,34950,64%,18650,34.3%,170,0.3%,303,0.6%,12,254,101,680,1.2%
15,54038,51923,96%,1082,2%,248,0.5%,187,0.3%,15,551,32,1002,1.9%
16,54233,40705,75%,12707,23.4%,167,0.3%,201,0.4%,4,376,73,913,1.7%
17,55474,52154,94%,1945,3.5%,217,0.4%,805,1.5%,13,270,70,520,0.9%
18,52432,47988,92%,3338,6.4%,293,0.6%,376,0.7%,25,347,65,991,1.9%
19,54738,50368,92%,3701,6.8%,240,0.4%,251,0.5%,12,104,62,315,0.6%
20,55397,50759,92%,3855,7%,201,0.4%,209,0.4%,12,297,64,656,1.2%
21,50072,32867,66%,10785,21.5%,361,0.7%,4769,9.5%,79,873,338,2003,4%
22,53621,46359,86%,6472,12.1%,230,0.4%,323,0.6%,7,153,77,418,0.8%
23,53891,37773,70%,14522,26.9%,269,0.5%,730,1.4%,24,364,209,650,1.2%
24,55222,48914,89%,5306,9.6%,378,0.7%,343,0.6%,23,170,88,447,0.8%
25,54109,50595,94%,2572,4.8%,246,0.5%,280,0.5%,13,315,88,848,1.6%
26,57170,51976,91%,2101,3.7%,196,0.3%,1342,2.3%,22,1390,143,3407,6%
27,50597,38078,75%,10159,20.1%,308,0.6%,1241,2.5%,28,612,171,1072,2.1%
28,51196,42229,82%,6553,12.8%,454,0.9%,938,1.8%,48,791,183,1672,3.3%
29,52946,48578,92%,2632,5%,286,0.5%,551,1%,15,777,107,1459,2.8%
30,52404,43233,82%,8090,15.4%,257,0.5%,325,0.6%,11,378,110,869,1.7%
31,48280,33572,70%,10151,21%,356,0.7%,2046,4.2%,101,1679,375,3228,6.7%
32,48737,40105,82%,3301,6.8%,185,0.4%,3698,7.6%,46,1178,224,2614,5.4%
33,50999,45615,89%,3314,6.5%,221,0.4%,892,1.7%,28,810,119,1666,3.3%
34,51004,42021,82%,1336,2.6%,136,0.3%,6352,12.5%,35,913,211,1875,3.7%
35,54215,43416,80%,2130,3.9%,195,0.4%,6892,12.7%,32,1306,244,2996,5.5%
36,53003,41007,77%,3947,7.4%,225,0.4%,5471,10.3%,38,2016,299,4284,8.1%
37,53969,39650,73%,3251,6%,239,0.4%,7822,14.5%,57,2595,355,5149,9.5%
38,55503,34539,62%,4603,8.3%,284,0.5%,9248,16.7%,48,6139,642,11540,20.8%
39,54533,35597,65%,2851,5.2%,244,0.4%,11449,21%,61,3943,388,7305,13.4%
40,49922,37877,76%,3298,6.6%,219,0.4%,6727,13.5%,33,1531,237,3167,6.3%
41,51472,38623,75%,2623,5.1%,199,0.4%,7964,15.5%,55,1719,289,3855,7.5%
42,49930,34207,69%,7905,15.8%,273,0.5%,5506,11%,64,1581,394,3358,6.7%
43,53713,38078,71%,6902,12.8%,243,0.5%,5999,11.2%,81,2033,377,4309,8%
44,53713,34099,63%,11185,20.8%,342,0.6%,3559,6.6%,63,3964,501,6956,13%
45,60766,47993,79%,7817,12.9%,312,0.5%,2146,3.5%,56,2055,387,4187,6.9%
46,59097,33172,56%,13643,23.1%,264,0.4%,5738,9.7%,84,4945,1251,7799,13.2%
47,58612,43310,74%,4031,6.9%,333,0.6%,5698,9.7%,57,4707,476,8954,15.3%
48,61649,48654,79%,3865,6.3%,304,0.5%,5594,9.1%,61,2758,413,5452,8.8%
49,54490,24494,45%,10460,19.2%,353,0.6%,5011,9.2%,44,13144,984,21089,38.7%
50,50768,37374,74%,5996,11.8%,385,0.8%,2008,4%,53,4648,304,7346,14.5%
51,48837,34951,72%,8479,17.4%,290,0.6%,2579,5.3%,84,2051,403,4063,8.3%
52,48774,31748,65%,11327,23.2%,400,0.8%,2243,4.6%,82,2558,416,4937,10.1%
53,56483,40987,73%,2331,4.1%,241,0.4%,9516,16.8%,47,3076,285,6472,11.5%
54,49682,41265,83%,6611,13.3%,363,0.7%,707,1.4%,32,549,155,1236,2.5%
55,50831,44594,88%,5198,10.2%,269,0.5%,480,0.9%,6,187,97,477,0.9%
56,51379,41354,80%,8467,16.5%,220,0.4%,1022,2%,13,195,108,541,1.1%
57,57933,44152,76%,9178,15.8%,177,0.3%,3456,6%,28,673,269,1443,2.5%
58,52874,46881,89%,4645,8.8%,221,0.4%,682,1.3%,15,348,82,816,1.5%
59,53235,37605,71%,14832,27.9%,217,0.4%,173,0.3%,20,240,148,678,1.3%
60,54681,34847,64%,19076,34.9%,192,0.4%,223,0.4%,18,208,117,590,1.1%
61,54223,34347,63%,19074,35.2%,210,0.4%,166,0.3%,9,331,86,625,1.2%
62,53363,38953,73%,11897,22.3%,415,0.8%,857,1.6%,60,951,230,1881,3.5%
63,52867,21252,40%,30559,57.8%,215,0.4%,343,0.6%,30,272,196,593,1.1%
64,55845,42049,75%,12129,21.7%,266,0.5%,960,1.7%,31,270,140,731,1.3%
65,49950,43599,87%,4902,9.8%,161,0.3%,1019,2%,11,193,65,525,1.1%
66,51355,43933,86%,5362,10.4%,267,0.5%,1241,2.4%,37,403,112,913,1.8%
67,50469,38630,77%,2682,5.3%,208,0.4%,7249,14.4%,34,1415,251,3231,6.4%
68,55829,48016,86%,5548,9.9%,226,0.4%,1255,2.2%,21,523,240,954,1.7%
69,52014,18840,36%,29974,57.6%,257,0.5%,893,1.7%,99,1568,383,2361,4.5%
70,50832,18954,37%,29051,57.2%,321,0.6%,553,1.1%,31,1568,354,2395,4.7%
71,55258,22398,41%,30684,55.5%,238,0.4%,1164,2.1%,27,435,312,734,1.3%
72,53894,45598,85%,4102,7.6%,183,0.3%,3274,6.1%,26,584,127,1115,2.1%
73,56920,45194,79%,7454,13.1%,309,0.5%,2681,4.7%,24,975,283,1782,3.1%
74,51938,18971,37%,31026,59.7%,745,1.4%,533,1%,21,389,253,743,1.4%
75,54557,23202,43%,30674,56.2%,136,0.2%,172,0.3%,21,250,102,541,1%
76,52642,38928,74%,12273,23.3%,312,0.6%,759,1.4%,21,205,144,601,1.1%
77,49646,20529,41%,27738,55.9%,303,0.6%,541,1.1%,24,275,236,610,1.2%
78,50395,40141,80%,7768,15.4%,333,0.7%,1519,3%,39,446,149,1082,2.1%
79,52738,32703,62%,17466,33.1%,405,0.8%,1253,2.4%,71,525,315,1134,2.2%
80,53448,22341,42%,29540,55.3%,356,0.7%,541,1%,55,319,296,709,1.3%
81,50313,38874,77%,8483,16.9%,450,0.9%,1339,2.7%,66,820,281,1890,3.8%
82,56452,49861,88%,4185,7.4%,337,0.6%,1141,2%,71,700,157,1637,2.9%
83,53726,40242,75%,9525,17.7%,398,0.7%,2254,4.2%,54,884,369,1875,3.5%
