"DISTRICT","VAP","VAP
WHITE","% White","VAP
BLACK","% Black","VAP
AMIND","% AmInd","VAP
ASIAN","% Asian","VAP
HAWPI","VAP
OTHER","VAP
MULTI","VAP
HISP","% Hisp","VAP
HISPW","VAP
HISPB","VAP
HISPO"
1,129510,91261,70.5%,31061,24%,905,0.7%,3473,2.7%,159,1776,875,3707,2.9%,1622,363,1722
2,126247,54122,42.9%,64742,51.3%,847,0.7%,3042,2.4%,157,2145,1192,4222,3.3%,1479,604,2139
3,135646,105829,78%,24234,17.9%,792,0.6%,2517,1.9%,124,1805,345,3331,2.5%,1437,130,1764
4,133431,105648,79.2%,25084,18.8%,831,0.6%,906,0.7%,40,668,254,1469,1.1%,760,111,598
5,127564,58979,46.2%,61718,48.4%,821,0.6%,3584,2.8%,147,1480,835,2942,2.3%,1173,419,1350
6,133105,93917,70.6%,28679,21.5%,1180,0.9%,4913,3.7%,182,3266,968,6065,4.6%,2319,530,3216
7,122237,85212,69.7%,24536,20.1%,894,0.7%,8596,7%,168,2068,763,4579,3.7%,2157,378,2044
8,123211,95395,77.4%,17845,14.5%,947,0.8%,6319,5.1%,166,1908,631,4501,3.7%,2318,314,1869
9,133481,54677,41%,72242,54.1%,670,0.5%,3085,2.3%,79,1891,837,3017,2.3%,978,381,1658
10,135367,115787,85.5%,14134,10.4%,551,0.4%,3291,2.4%,38,1136,430,2223,1.6%,1227,76,920
11,128686,99879,77.6%,21933,17%,774,0.6%,3268,2.5%,87,2302,443,4200,3.3%,1853,178,2169
12,130774,108761,83.2%,15150,11.6%,662,0.5%,4944,3.8%,34,938,285,2065,1.6%,1202,103,760
13,131807,76882,58.3%,52309,39.7%,576,0.4%,829,0.6%,64,810,337,1884,1.4%,862,263,759
14,123357,87231,70.7%,31848,25.8%,817,0.7%,2219,1.8%,79,792,371,1989,1.6%,1067,181,741
15,136034,91844,67.5%,42203,31%,569,0.4%,487,0.4%,50,602,279,1342,1%,561,200,581
16,130302,53482,41%,71650,55%,1245,1%,1084,0.8%,145,2006,690,3194,2.5%,712,381,2101
17,127205,103068,81%,19654,15.5%,944,0.7%,1698,1.3%,67,1359,415,2949,2.3%,1511,168,1270
18,127061,63898,50.3%,59021,46.5%,864,0.7%,1714,1.3%,108,831,625,1918,1.5%,776,348,794
19,137812,94827,68.8%,41235,29.9%,450,0.3%,495,0.4%,16,530,259,1405,1%,744,168,493
20,138396,114960,83.1%,21201,15.3%,485,0.4%,441,0.3%,35,1089,185,2597,1.9%,1390,130,1077
21,134045,110529,82.5%,19737,14.7%,619,0.5%,1874,1.4%,40,890,356,1504,1.1%,743,114,647
22,135165,126741,93.8%,6599,4.9%,581,0.4%,757,0.6%,39,324,124,864,0.6%,609,25,230
23,138096,112126,81.2%,22980,16.6%,752,0.5%,1249,0.9%,45,609,335,1275,0.9%,650,104,521
24,137729,128404,93.2%,6977,5.1%,629,0.5%,630,0.5%,45,846,198,1966,1.4%,1220,39,707
25,137596,112854,82%,18189,13.2%,516,0.4%,4314,3.1%,54,1231,438,2798,2%,1600,142,1056
26,140864,129906,92.2%,5319,3.8%,621,0.4%,2067,1.5%,51,2629,271,5757,4.1%,3048,158,2551
27,131329,115040,87.6%,11327,8.6%,710,0.5%,2054,1.6%,72,1808,318,3778,2.9%,2046,94,1638
28,123172,87191,70.8%,24098,19.6%,1049,0.9%,4786,3.9%,212,4918,918,9425,7.7%,4202,418,4805
29,124218,93078,74.9%,17005,13.7%,793,0.6%,5311,4.3%,185,7057,789,12203,9.8%,5036,308,6859
30,149575,95752,64%,26802,17.9%,742,0.5%,11872,7.9%,169,12208,2030,20397,13.6%,8653,477,11267
31,146626,104548,71.3%,13235,9%,794,0.5%,13441,9.2%,138,13022,1448,23819,16.2%,11201,378,12240
32,133945,107007,79.9%,5901,4.4%,471,0.4%,15667,11.7%,70,4191,638,8711,6.5%,5295,148,3268
33,123904,93533,75.5%,8739,7.1%,531,0.4%,14263,11.5%,121,5945,772,11411,9.2%,5727,177,5507
34,141991,94291,66.4%,8947,6.3%,709,0.5%,23050,16.2%,128,13658,1208,25108,17.7%,11982,349,12777
35,134185,97333,72.5%,7875,5.9%,572,0.4%,21918,16.3%,157,5458,872,11259,8.4%,6220,169,4870
36,135682,87494,64.5%,24968,18.4%,798,0.6%,13050,9.6%,189,8021,1162,15153,11.2%,6881,489,7783
37,130156,100455,77.2%,8440,6.5%,533,0.4%,16494,12.7%,85,3502,647,7955,6.1%,4719,159,3077
38,143295,138124,96.4%,3782,2.6%,524,0.4%,460,0.3%,27,296,82,808,0.6%,550,34,224
39,145313,133743,92%,5704,3.9%,614,0.4%,3577,2.5%,62,1287,326,2181,1.5%,1140,59,982
40,142134,137634,96.8%,3053,2.1%,655,0.5%,375,0.3%,28,300,89,869,0.6%,618,21,230
